,stopwords
283,prednisone obat antiradang pengobatan imunosupresan obat terapi kondisi alergi ulseratif kolitis radang usus arthritis radang sendi lupus psoriasis radang kulit gangguan pernapasan
284,pregabalin obat mengontrol kejang mengobati fibromyalgia nyeri otot tulang pregabalin mengobati sakit disebabkan kerusakan saraf penderita diabetes neuropati diabetik herpes zoster cacar api cedera medulla spinalis
285,probenecid obat mengobati asam urat nyeri sendi akibat kadar asam urat tubuh
286,procainamide mengobati aritmia detak jantung normal
287,prochlorperazine obat mengobati gangguan kejiwaan psikotik skizofrenia obat terapi kecemasan mengontrol mual muntah berat
288,quinidine obat menjaga detak jantung normal memiliki kelainan ritme jantung
289,malaria salah kesehatan indonesia penyakit disebarkan nyamuk anopheles sp betina malaria diobati menyebabkan komplikasi kesehatan kematian mengobati malaria salah jenis obatnya quinine quinine mengobati malaria jenis penyakit malaria disertai komplikasi quinine mengobati malaria parah mencegah malaria baca juga: 7 fakta pengobatan malaria indonesia
290,didiagnosis kanker prostat dokter diresepkan obat radium obat mengatasi kanker prostat menyebar tulang
291,ramipril obat antihipertensi mengatasi tekanan darah hipertensi gagal jantung obat mengalami serangan jantung gengs
292,ranitidin obat mengobati mencegah luka lambung usus obat lambung memproduksi asam sindrom zollinger-ellison ranitidin mengatasi gerd kondisi dimana asam lambung esofagus
293,ranolazine obat mengatasi angina kronis nyeri dada salah gejala serangan jantung obat serangan angina angina akut
294,persetujuan darurat regdanvimab pengobatan corona virus disease 2019 covid-19 terkonfirmasi pasien dewasa terapi oksigen berisiko mengalami covid-19 berat faktor risiko terbatas pada: usia obesitas penyakit kardiovaskular hipertensi penyakit paru kronis asma diabetes mellitus tipe 1 tipe 2 penyakit ginjal kronis menjalani dialisis penyakit hati kronis imunosupresi berdasarkan penilaian dokter
295,riboflavin mengobati mencegah kekurangan vitamin b2
296,rifabutin mencegah infeksi bakteri mycobacterium avium complex pasien hiv rifabutin mengobati tuberkulosis pasien hiv
297,rifampicin mengobati pasien tuberkulosis leprosi penyakit legionnaires infeksi serius staphylococcal brucellosis
298,risperidone mengobati schizophrenia dewasa anak-anak usia minimal 13 risperidone mengatasi gejala bipolar dewasa anak berusia minimal 10 risperidone mengatasi gejala autisme anak usia 5-16
299,rivastigmine obat mengatasi demensia gangguan berpikir hilang ingatan disebabkan alzheimer parkinson
300,ropinirole mengobati gejala penyakit parkinson kram tremor kejang otot kontrol otot lemah ropinirole mengatasi penyakit willis-ekbom kondisi neurologis kaki terkontrol bergerak
301,rosuvastatin dewasa anak minimal 8 menurunkan kolesterol trigliserida salah tipe lemak darah menurunkan lemak menempel pembuluh darah rosuvastatin menurunkan risiko stroke serangan jantung komplikasi jantung diabetes penyakit jantung koroner faktor risiko
302,saccharomyces boulardii iyo mikroorganisme berbentuk khamir beguna efektif mencegah diare antibiotik saccharomyces boulardii iyo mengobati diare bayi anak-anak efektif menurunkan frekuensi diare akibat clostridium difficile diare pasien hiv luka perut akibat bakteri helicobacter pylori
303,salbutamol mengobati asma memperbaiki aliran pernapasan bronkitis kronis emfisema
304,salmeterol mencegah serangan asma bronkospasme akibat berolahraga salmeterol mengobati penyakit copd emfisema bronkitis kronis
305,satranidazole abses nanah liver akibat infeksi amuba penyakit giardiasis trichomoniasis
306,scopolamine mencegah mual muntah akibat mabuk perjalanan penggunaan anestesi operasi
307,sea water nasalin obat membersihkan saluran pernapasan melembapkan permukaan hidung kering perawatan tambahan infeksi tht telinga hidung tenggorokan
308,secukinumab mengatasi plaque psoriasis penyakit autoimun menyerang kulit menimbulkan peradangan kronis ditandai bercak merah tebal bersisik keperakan tingkat berat
309,selegiline obat mengatasi gangguan pergerakan akibat penyakit parkinson obat mengobati penyakit parkinson meredakan gejalanya tremor kekakuan otot hilangnya pergerakan normal selegiline meningkatkan kemampuan pasien mudah bergerak baca juga: kenali gejala penyakit parkinson
310,sertraline mengobati gangguan mental depresi gangguan obsesif kompulsif kepanikan gangguan kecemasan stres kejadian traumatik gangguan premenstruasi disforia
311,sildenafil mengobati disfungsi ereksi impotensi lelaki kondisi pria ereksi mempertahankan ereksi hubungan seksual pasangan memuaskan
312,simethicone mengatasi sakit nyaman akibat gas perut usus simethicone bayi anak dewasa
313,simvastatin menurunkan kolesterol trigliserida darah simvastatin menurunkan risiko stroke serangan jantung komplikasi jantung pasien diabetes penyakit jantung koroner
314,spiramycin infeksi protozoa toxoplasmosis cryptosporidiosis diare akibat protozoa cryptosopridium pasien rentan infeksi
315,spironolactone mengobati penyakit jantung tekanan darah penurunan kalium darah hipokalemia spironolacton mengurangi retensi cairan penumpukan cairan pasien gagal jantung kongestif sirosis hati gangguan ginjal pasien hormon aldosterone melebihi normal diobati spironolactone
316,squalene suplemen terbuat minyak hati ikan hiu minyak zaitun obat dikonsumsi penderita kanker mengandung senyawa anti-kanker obat terbukti menyehatkan menurunkan kadar kolesterol lemak buruk 'ldl' trigliserida squalene dikombinasikan produk perawatan kulit bentuk pelembap mengandung antioksidan baca juga: mencerahkan kulit minyak zaitun
317,streptokinase obat melarutkan gumpalan darah pembuluh darah obat enzim langsung pasien mengalami gejala serangan jantung meningkatkan keselamatannya streptokinase mengobati penggumpalan darah paru-paru pulmonari embolisme kaki trombosis vena kondisi obat melarutkan gumpalan darah saluran kateter dimasukkan pembuluh darah obat obat berat memperolehnya resep dokter baca juga: obat pengencer darah solusi penyumbatan pembuluh darah
318,streptomycin antibiotik bentuk suntikan mengobati infeksi bakteri parah tubuh obat kelas obat antibiotik aminoglikosid kerja obat membunuh bakteri mencegah pertumbuhannya streptomycin mengobati infeksi virus demam flu suntikan streptomycin mengobati tuberkulosis obat pilihan dokter mengobati infeksi bakteri serius mempan diobati obat streptomycin dasar izin dokter disuntikkan tenaga medis resmi dokter baca juga: 5 fakta menarik antibiotik
319,strontium logam berwarna silver alami ditemukan elemen non-radioaktif 99% strontium ditemukan tubuh manusia tulang bentuk berbeda strontium obat strontium ranelate mengobati osteoporosis artritis radioactive strontium-89 mengobati kanker prostat kanker tulang stadium radioactive strontium-89 pengobatan bentuk intravena strontium klorida hexahidrat dijadikan bahan campuran pasta gigi meredakan nyeri akibat gigi sensitif strontium klorida bentuk strontium ditemukan suplemen diet
320,sukralfat obat mengobati mencegah ulkus duodenum luka terbuka lapisan lambung usus halus kondisi ditentukan dokter obat mencegah kekambuhan lukanya kerjanya sukralfat membentuk lapisan lukanya tujuannya melindungi lukanya asam perut enzim garam empedu sembuh cepat obat mengandung garam aluminum dibeli resep dokter baca juga: mencegah lambung
321,sulfadiazine antibiotik mengobati jenis infeksi disebabkan bakteri infeksi diobati obat saluran kemih infeksi telinga meningitis malaria toxolasmosis baca juga: 5 fakta menarik antibiotik
322,sulfamethoxazole antibiotik mengobati infeksi bakteri obat bersamaan trimethoprim menangani infeksi telinga otitis media infeksi saluran kemih bronkitis traveler's diarrhea diare turis negara berkembang shigellosis pneumonia baca juga: 6 fakta infeksi saluran kemih wanita
323,sulfanilamide obat mengatasi infeksi jamur vagina jamur menginfeksi jamur candida ditandai gejala perih gatal keputiuhan vagina baca juga: kenali 4 penyebab utama infeksi vagina!
324,sulfasalazine obat mengatasi penyakit ulseratif kolitis radang usus rheumatoid arthritis radang sendi anak orang dewasa obat orang pengobatan berhasil baca juga: waspada radang sendi menghambat aktivitas sehari-hari!
325,sumatriptan obat mengatasi migrain sakit kepala sebelah sakit kepala cluster obat mengatasi sakit kepala mencegah kekambuhan sumatripan mengatasi sakit kepala tensi
326,tadalafil mengobati disfungsi ereksi disfungsi ereksi kondisi penis mengeras memanjang mempertahankan kekerasan ereksi penetrasi pria terangsang terstimulasi seksual respons normal tubuh meningkatkan aliran darah penis penis menegang enzim dikontrol tadalafil ereksi dipertahankan stimulasi fisik penis tadalafil menciptakan ereksi tadalafil mengobati pria mengalami pembesaran prostat jinak bph pria mengalami pembesaran prostat sulit buang air kali terbangun malam buang air kondisi tadalafil meredakan gejalanya mencegah kondisinya bertambah parah obat pria wanita mengobati hipertensi pulmonari arterial kondisi tekanan darah arteri utama arteri membawa darah kanan jantung paru-paru kondisi memengaruhi aliran darah kanan jantung keras memompa darah paru-paru kondisi tadalafil memanfaatkan enzim pde5 paru-paru merelaksasi pembuluh darah
327,tafluprost obat tekanan mata akibat glaukoma jenis penyakit mata hipertensi okular menurunkan tekanan mata membantu mencegah kebutaan
328,tamoxifen obat mengobati jenis kanker payudara menyebar organ kanker payudara metastatik obat pasien kanker payudara selesai menjalani operasi terapi radiasi tamoxifen menurunkan risiko kanker payudara orang-orang memiliki risiko baca juga: yuk kenali tanda-tanda kanker payudara!
329,tamsulosin obat mengobati pria mengalami pembesaran kelenjar prostat pembesaran prostat jinak pembesaran prostat jinak menyerang pria memasuki usia kelenjar prostat terletak kandung kemih kelenjar mengalami pembesaran otot kelenjar tertarik mengganggu sistemnya kondisi menyebabkan penderita buang air urine sensasi buang air sempurna
330,telmisartan obat mengatasi tekanan darah hipertensi dikombinasikan obat antihipertensi obat menurunkan risiko stroke serangan jantung kematian pasien gangguan jantung
331,temazepam obat mengobati insomnia sulit tidur obat jangka pendek sekita 7-10
332,tembaga jenis mineral ditemukan daging makanan laut kacang biji-bijian gandum produk kokoa tubuh manusia mineral terkumpul tulang otot tembaga obat mengatasi kekurangan tembaga anemia osteoarthritis sendi sakit kaku bengkak
333,tenofovir obat mengobati hiv virus menyebabkan aids penurunan sistem imun tenofovir menyembuhkan hivaids obat mengatasi hepatitis b kronis
334,teofilin obat mengobati penyakit pernapasan asma ppok bronkitis emfisema obat rutin mencegah kesulitan sesak napas
335,terazosin obat pasien hipertensi obat mempermudah pengeluaran urine pria menderita benign prostatic hyperplasia pembesaran prostat
336,terbinafine obat mengobati infeksi kulit athlete's foot kurap kaki infeksi jamur permukaan kaki jock itch infeksi jamur kulit paha kelamin bokong ringworm infeksi jamur kulit
337,terbutalin obat mengobati mencegah bronkospasme bronkospasme kondisi sesak napas kesulitan bernapas penderita asma bronkitis emfisema kondisi kantong udara paru-paru hancur secraa bertahap menyebabkan napas pendek
338,testosterone hormon memiliki peran tubuh wanita pria bentuk obat testosterone orang memiliki kekurangan hormon testoteron mengobati kanker payudara wanita menyebar tubuh
339,tetracycline mengatasi infeksi bakteri kulit usus saluran pernapasan saluran perkemihan alat kelamin kelenjar limpa sistem tubuh tetracycline mengobati jerawat berat penyakit seksual sifilis raja singa klamidia gonore kencing nanah tetrasiklin mengobati infeksi akibat kontak langsung hewan makanan terkontaminasi
340,thalidomide obat dexamethasone mengatasi kanker sum-sum tulang multiple myeloma obat mengatasi mencegah lesi kulit kerusakanabnormal kulit akibat leprosi penyaki hansen
341,thiamphenicol obat mengobati infeksi bakteri obat mengatasi gonore
342,tiabendazole obat mengatasi infeksi akibat cacing parasit contoh penyakit disebabkan cacing parasit strongyloidiasis dracunculiasis ascariasis trichostrongyliasis trichuriasis trichinosis toxocariasis
343,ticlopidine obat mencegah stroke konsumsi aspirin berhasil obat mencegah penggumpalan darah mengalami serangan jantung stroke
344,timolol obat mengobati hipertensi tekanan darah obat menurunkan risiko kematian serangan jantung timolol mencegah sakit kepala sebelah migrain
345,tizanidine obat mengatasi kekejangan otot otot kaku akibat penyakit multiple sclerosis cedera tulang
346,tobramycin obat mengatasi infeksi bakteri kulit jantung perut otak sumsum tulang paru-paru saluran kemih obat mengatasi fibrosis kistik
347,tramadol obat mengatasi nyeri tingkat berat
348,tretinoin obat mengatasi jerawat melembutkan kulit kasar mengurangi bercak cokelat kulit obat menurunkan keparahan jerawat mempercepat proses pemulihan kulitnya
349,triamcinolone obat mengatasi alergi kolitis ulseratif radang usus arthritis peradangan sendi lupus psoriasis gangguan pernapasan
350,triclosan obat mengatasi jerawat desinfektan tangan luka kulit pembersih mulut obat terkandung larutan sabun krim
351,trihexyphenidyl obat mengobati tremor kram kekakuan kelemahan otot penyakit parkinson obat mengobati mencegah gejala penyakit otot akibat penggunaan klorpromazin flufenazin ferfenazin haloperidol thiothixine
352,trimethoprim obat mengatasi infeksi ginjal organ kemih infeksi telinga bakteri
353,triprolidine obat mengatasi bersin hidung berair mata berair kulit ruam gatal gejala pilek gejala alergi
354,tripsin enzim mengubah protein bentuk diserap usus obat kekurangan enzim pencernaan tripsin dikombinasikan bromelain rutin mengobati osteoarthritis obat membantu mengobati luka kulit
355,bacillus calmette and guérin bcg vaksin mencegah tuberkulosis vaksin bayi lahir anak orang dewasa anak berusia 6 direkomendasikan skin test menerima vaksin bcg tes reaksi alergi tuberkuloprotein
356,valacyclovir obat mengobati infeksi disebabkan jenis virus anak obat mengatasi kelecetan mulut disebabkan herpes simpleks cacar air anak usia diatas 2 orang dewasa valacyclovir mengobati penyakit ruam saraf herpes mulut obat mengobati herpes genital
357,valsartan obat tekanan darah antihipertensi dewasa anak berusia 6 konsumsi obat dikombinasikan obat valsartan mengatasi gagal jantung menurunkan risiko kematian mengalami serangan jantung
358,vancomycin antibiotik mengobati infeksi usus akibat bakteri clostridium difficile bakteri menyebabkan diare berair berdarah obat efektif infeksi disebabkan bakteri staphylococcus bakteri menghasilkan racun menyebabkan peradangan kolon usus halus
359,vasopressin obat mencegah hilangnya cairan tubuh mengurangi pengeluaran urine obat membantu kerja ginjal menyerap ulang reabsorbsi cairan tubuh vasopressin meningkatakan tekanan darah mempersempit pembuluh darah mengatasi diabetes insipidus
360,verapamil obat mengatasi hipertensi tekanan darah angina nyeri dada gangguan detak jantung menurunkan tekanan darah mencegah stroke serangan jantung ginjal
361,vildagliptin obat antidiabetik tunggal dikombinasikan obat mengonati diabetes tipe 2 orang dewasa memperoleh efek maksimal konsumsi obat penderita diabetes tipe 2 direkomendasikan mengikuti diet ketat olahraga rutin vildagliptin direkomendasikan penderita diabetes tipe 1 ketoasidosis diabetik
362,vincristine obat mengobati leukemia penyakit limfoma hodgkin limfoma non hodgkin rhabdomiosarkoma tumor jaringan lunak neuroblastoma kanker jaringan syaraf tumor wilm obat dikombinasikan obat kanker meningkatkan tingkat kesembuhan
363,vitamin a kesehatan mata sistem imun pertumbuhan sel vitamin a terbagi bersumber hewani retinoid bersumber nabati beta karoten retinoid bentuk oral topikal mengobati jerawat kondisi kulit bercak hitam vitamin a oral mengatasi campak mata kering tipe leukemia
364,vitamin b1 tiamin mengatasi mencegah kekurangan vitamin b1 vitamin b1 bentuk injeksi mengatasi beriberi radang saraf neuritis vitamin mengatasi pencernaan kehilangan nafsu makan diare ulcer colitis gangguan otak sindrom wernicke-korsakoff
365,vitamin b12 sianokobalamin vitamin orang memiliki kekurangan vitamin b12 obat mengobati pernicious anemia penurunan sel darah merah tubuh menyerap vitamin b12 saluran pencernaan
366,vitamin b2 riboflavin mengatasi mencegah kondisi rendah riboflavin vitamin b2 orang-orang asupan vitamin diet sehari-hari kebanyakan orang mengikuti pola makan normal membutuhkan asupan vitamin b2 tambahan kondisi menyebabkan kadar vitamin b2 rendah kondisi-kondisi gangguan perut pencernaan infeksi berkepanjangan penyakit lever kecanduan alkohol kanker
367,vitamin b3 niacin mencegah mengobati kondisi kekurangan niacin alami tubuh menurunkan kolesterol trigliserida darah niacin menurunkan risiko serangan jantung orang kadar kolesterol mengalami serangan jantung terkadang niacin terapi pasien penyumbatan arteri koroner jantung
368,vitamin b5 asam pantotenat pasien kekurangan vitamin vitamin ditemukan tumbuhan binatang sereal gandum telur susu
369,vitamin b6 dikenal piridoksin mengatasi mencegah kekurangan defisiensi vitamin b6 sideroblastik anemia piridoksin bentuk injeksi bayi mengatasi kekejangan
370,vitamin b9 dikonsumsi mengatasi kondisi kekurangan asam folat jenis anemia vitamin penderita penyakit ginjal
371,vitamin c asam askorbat mengatasi mencegah kekurangan defisiensi vitamin c mengobati seriawan pilek infeksi kulit
372,vitamin d mengobati mencegah penyakit rickets gangguan tulang pertumbuhan kalsium gagal tersimpan tulang kelemahan tulang nyeri tulang tulang keropos pasien menderita hiperparatiroidisme pembesaran hormon paratiroid akibat produksi hormon berlebih kadar kalsium darah meningkat penyakit genetik tulang getas mudah retak vitamin mencegah tulang patah pasien menderita osteoporosis tulang keropos vitamin d suplemen mengatasi kondisi penyakit jantung pembuluh darah tekanan darah kolestrol vitamin pasien diabetes obesitas kelemahan otot multiple sclerosis penyakit progresif muncul akibat sistem kekebalan tubuh keliru menyerang selaput pelindung saraf mielin otak saraf tulang peradangan sendi asma peradangan bronkus paru pms penyakit gigi gusi
373,vitamin e vitamin larut lemak berperan antioksidan vitamin mengatasi mencegah kekurangan defisiensi vitamin e membantu memperlambat proses kerusakan sel
374,vitamin k beragam pengobatan vitamin memiliki bentuk k1 phytonadine vitamin k2 menaquinone vitamin k1 aman cepat kuat kondisi vitamin k berguna proses pembekuan darah mencegah kekurangan defisiensi vitamin k mengobati osteoporosis melemahnya tulang
375,warfarin obat mengatasi mencegah penggumpalan darah pembuluh darah vena arteri obat menurunkan risiko stroke serangan jantung kondisi serius akibat penyumbatan bekuan darah arteri
376,white petrolatum menutup luka pelembablubrikan mata
377,zink sulfat obat mengatasi mencegah kekurangan zinc tubuh membutuhkan zinc mendukung kesehatan zinc sulfat bentuk diminum pasien menerima jalur intravena
378,zolpidem obat mengatasi insomnia tablet zolpidem langsung dilepaskan membantu tidur tablet zolpidem lepas lambat cepat tidur menjaga kualitasnya jenis zolpidem membantu tidur terbangun malam dokter menentuka jenis zolpidem kondisi
